,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,trial_aborted,trial_duration,date_time
79,79,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051702.7451808,118,2.4164819717407227,1,0,-1,0,0.15,1.0,[1.1670000553131104],1.0,2.4164819717407227,1,1,0,3.416497230529785,2023_05_02_14_21_39
80,80,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051708.509718,107,5.5497260093688965,1,0,-1,0,0.15,0.6363636363636364,[0.9834680557250977],1.0,5.5497260093688965,11,7,0,6.549966096878052,2023_05_02_14_21_45
81,81,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051717.7091131,107,5.266894102096558,1,0,-1,0,0.15,0.5,[0.9831030368804932],1.0,5.266894102096558,10,5,0,6.26612114906311,2023_05_02_14_21_54
82,82,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051726.691723,111,3.96622633934021,1,0,-1,0,0.15,0.5,[1.0502490997314453],1.0,3.96622633934021,6,3,0,4.966078996658325,2023_05_02_14_22_03
83,83,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051734.190892,107,6.266043186187744,1,0,-1,0,0.15,0.6153846153846154,[0.9831812381744385],1.0,6.266043186187744,13,8,0,7.265790939331055,2023_05_02_14_22_11
84,84,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051744.1734788,109,6.915585041046143,1,0,-1,0,0.15,0.6666666666666666,[1.0159831047058105],0.0,6.915585041046143,15,10,0,7.9321112632751465,2023_05_02_14_22_21
85,85,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1683051755.17295,131,7.482542037963867,1,0,1,0,0.0,0.6,[1.3826649188995361],0.0,7.482542037963867,15,9,0,8.481969118118286,2023_05_02_14_22_31
86,86,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051766.005434,108,2.899846076965332,1,0,-1,0,0.15,0.3333333333333333,[0.9996500015258789],1.0,2.899846076965332,3,1,0,3.8995721340179443,2023_05_02_14_22_43
87,87,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051772.422109,107,3.8829691410064697,1,0,-1,0,0.15,1.0,[0.9834191799163818],1.0,3.8829691410064697,6,6,0,4.882786989212036,2023_05_02_14_22_49
88,88,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051779.8877409,107,4.900045871734619,1,0,-1,0,0.15,0.7777777777777778,[0.9826409816741943],1.0,4.900045871734619,9,7,0,5.899503946304321,2023_05_02_14_22_57
