,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,other,player,player_choice,poll_probs,prop_touched_polls,reaction_time,reward,total_polls,touched_polls,trial_aborted,trial_duration
112,112,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865537.754272,113,1,0,1,0.15,1.0,0.7335069179534912,1.0,4,4,0,3.315830945968628
113,113,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865541.720806,108,1,0,1,0.15,1.0,0.7333025932312012,1.0,5,5,0,3.583174705505371
114,114,[1.0],1.0,0.0,-1.0,-1.0,0.0,[-1.0],1651865546.0371149,107,1,0,1,0.0,0.9333333333333333,0.7340459823608398,0.0,15,14,0,7.066025972366333
115,115,[1.0],1.0,0.0,-1.0,-1.0,0.0,[-1.0],1651865554.0861151,108,1,0,1,0.0,0.8666666666666667,0.7332749366760254,0.0,15,13,0,7.083202838897705
116,116,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865562.435578,126,1,0,-1,0.15,1.0,0.7343292236328125,1.0,5,5,0,3.8670032024383545
117,117,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865566.819089,112,1,0,-1,0.15,0.8888888888888888,0.7330090999603271,1.0,9,8,0,4.9828410148620605
118,118,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865572.502383,106,1,0,-1,0.15,0.8,0.7329237461090088,1.0,5,4,0,3.5660698413848877
119,119,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865576.818201,106,1,0,-1,0.15,0.8181818181818182,0.7333261966705322,1.0,11,9,0,5.534472227096558
120,120,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865583.25113,111,1,0,-1,0.15,0.6666666666666666,0.7332820892333984,1.0,12,8,0,5.94960618019104
121,121,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865590.284384,126,1,0,-1,0.15,0.6666666666666666,0.7332353591918945,1.0,15,10,0,7.216598033905029
122,122,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865598.050045,106,1,0,-1,0.15,0.6,0.7329893112182617,1.0,5,3,0,3.5330119132995605
123,123,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865602.349805,107,1,0,-1,0.15,0.6,0.7332301139831543,1.0,5,3,0,3.5666041374206543
124,124,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865606.6829991,108,1,0,-1,0.15,0.5,0.7332451343536377,1.0,2,1,0,2.5665361881256104
125,125,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865609.916302,106,1,0,-1,0.15,0.75,0.7328641414642334,1.0,4,3,0,3.200949192047119
126,126,[-1.0],-1.0,0.0,1.0,-1.0,0.0,[-1.0],1651865613.848799,106,1,0,-1,0.0,0.8,0.733267068862915,0.0,15,12,0,7.0663743019104
127,127,[-1.0],-1.0,0.0,1.0,-1.0,0.0,[-1.0],1651865621.8819048,106,1,0,-1,0.0,0.6666666666666666,0.7336280345916748,0.0,15,10,0,7.049594879150391
128,128,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865629.965933,110,1,0,1,0.15,0.8666666666666667,0.7334163188934326,0.0,15,13,0,7.1166603565216064
129,129,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865638.347313,127,1,0,1,0.15,0.6,0.7336738109588623,1.0,5,3,0,3.900022029876709
130,130,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865642.6804638,108,1,0,1,0.15,0.5,0.7329308986663818,1.0,2,1,0,2.5826468467712402
131,131,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865645.9634979,108,1,0,1,0.15,1.0,0.7323949337005615,0.0,15,15,0,7.081874847412109
132,132,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865654.0300312,108,1,0,1,0.15,0.75,0.7342097759246826,1.0,8,6,0,4.6005918979644775
133,133,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865659.64643,122,1,0,1,0.15,1.0,0.7336571216583252,1.0,5,5,0,3.799370050430298
134,134,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865664.028697,112,1,0,1,0.15,1.0,0.7339198589324951,1.0,3,3,0,2.9666800498962402
135,135,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865668.079016,134,1,0,1,0.15,1.0,0.7334988117218018,1.0,8,8,0,4.9991090297698975
136,136,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865673.428192,107,1,0,1,0.15,1.0,0.7332830429077148,1.0,5,5,0,3.549947738647461
137,137,[1.0],1.0,0.0,-1.0,-1.0,0.0,[-1.0],1651865678.127657,132,1,0,1,0.0,0.8,0.7338109016418457,0.0,15,12,0,7.483314037322998
138,138,[1.0],1.0,0.0,-1.0,-1.0,0.0,[-1.0],1651865686.210361,108,1,0,1,0.0,0.8,0.7335569858551025,0.0,15,12,0,7.09970498085022
139,139,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865694.560419,125,1,0,-1,0.15,0.7333333333333333,0.7331230640411377,0.0,15,11,0,7.36549186706543
140,140,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865703.409667,155,1,0,-1,0.15,0.6666666666666666,0.7332439422607422,0.0,15,10,0,7.8664467334747314
141,141,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865712.0588229,141,1,0,-1,0.15,1.0,0.7322874069213867,1.0,4,4,0,3.8163342475891113
142,142,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865716.058969,106,1,0,-1,0.15,0.5,0.7334179878234863,1.0,2,1,0,2.550130844116211
143,143,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865719.291664,106,1,0,-1,0.15,0.3333333333333333,0.7331311702728271,1.0,3,1,0,2.883310079574585
144,144,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865722.891469,106,1,0,-1,0.15,0.6666666666666666,0.7331159114837646,1.0,15,10,0,6.866700172424316
145,145,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865730.891435,122,1,0,-1,0.15,0.8,0.7335860729217529,1.0,10,8,0,5.483196020126343
146,146,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865737.2245498,124,1,0,-1,0.15,0.6,0.7337591648101807,0.0,15,9,0,7.365738153457642
147,147,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865745.273994,106,1,0,-1,0.15,0.6666666666666666,0.7334041595458984,1.0,3,2,0,2.866758108139038
