,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted
425,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.18138980865478516, -1628434226.484162]","[1.0, 0.0]","[0.7155048847198486, -1628434226.484162]","[0.0, 0.0]",0.0,0.0,4.749485969543457,1628434227.199667,1,0,0,1,0.7333333333333333,0.0,15,11,0
426,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.24831938743591309, -1628434233.0678558]","[1.0, 0.0]","[0.7982592582702637, -1628434233.0678558]","[0.0, 0.0]",0.0,0.0,4.749516725540161,1628434233.866115,1,0,0,1,0.6,0.0,15,9,0
427,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.23212409019470215, -1628434239.667304]","[1.0, 0.0]","[0.6646220684051514, -1628434239.667304]","[1.0, 0.0]",1.0,0.0,4.749412775039673,1628434240.331926,1,0,0,-1,0.6666666666666666,0.0,15,10,0
428,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.016862869262695312, -1628434246.267068]","[1.0, 0.0]","[0.6816160678863525, -1628434246.267068]","[0.0, 0.0]",0.0,0.0,4.750076055526733,1628434246.948684,1,0,0,1,0.6,0.0,15,9,0
429,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.0, -1628434252.866883]","[1.0, 0.0]","[0.7156281471252441, -1628434252.866883]","[1.0, 0.0]",1.0,0.0,4.749516725540161,1628434253.5825112,1,0,0,-1,0.6,0.0,15,9,0
430,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.06568002700805664, -1628434259.466487]","[1.0, 0.0]","[0.6818509101867676, -1628434259.466487]","[0.0, 0.0]",0.0,0.0,4.750344276428223,1628434260.1483378,1,0,0,1,0.7333333333333333,0.0,15,11,0
431,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.0, -1628434266.04996]","[1.0, 0.0]","[0.6157331466674805, -1628434266.04996]","[0.0, 0.0]",0.0,0.0,4.749928951263428,1628434266.665693,1,0,0,1,0.8,0.0,15,12,0
432,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.36460208892822266, -1628434272.667638]","[1.0, 0.0]","[0.49802589416503906, -1628434272.667638]","[1.0, 0.0]",1.0,0.0,4.6660380363464355,1628434273.165664,1,0,0,-1,0.4,1.0,15,6,0
433,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.281696081161499, -1628434278.750156]","[2.0, 0.0]","[1.4147710800170898, -1628434278.750156]","[1.0, 0.0]",1.0,0.0,3.683459997177124,1628434280.164927,1,0,0,-1,0.5,1.0,10,5,0
434,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[1.4491400718688965, -1628434284.8329139]","[2.0, 0.0]","[1.782426118850708, -1628434284.8329139]","[1.0, 0.0]",1.0,0.0,4.749504089355469,1628434286.61534,1,0,0,-1,0.4666666666666667,0.0,15,7,0
435,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.017060041427612305, -1628434292.432674]","[2.0, 0.0]","[0.5651900768280029, -1628434292.432674]","[1.0, 0.0]",1.0,0.0,2.666952133178711,1628434292.997864,1,0,0,-1,1.0,1.0,5,5,0
436,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.0, -1628434296.516377]","[2.0, 0.0]","[0.3655869960784912, -1628434296.516377]","[0.0, 0.0]",0.0,0.0,4.749430179595947,1628434296.881964,1,0,0,-1,0.4666666666666667,0.0,15,7,0
