,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
513,1R,Low,1.0,1.0,0.0,0.0,self,1.0329577922821045,1.0,1.0,714.0,Offenbach,20230314
514,1R,Low,2.0,2.0,0.0,0.0,self,0.9832127094268799,1.0,2.0,715.0,Offenbach,20230314
515,1R,Low,4.0,4.0,0.0,0.0,self,1.0994501113891602,1.0,3.0,716.0,Offenbach,20230314
516,1R,Low,8.0,8.0,0.0,0.0,self,0.9839010238647461,1.0,4.0,717.0,Offenbach,20230314
517,1R,Med,9.0,9.0,0.0,0.0,self,0.9829041957855225,1.0,5.0,718.0,Offenbach,20230314
518,1R,Low,1.0,1.0,0.0,0.0,self,1.0665411949157715,1.0,6.0,719.0,Offenbach,20230314
519,1R,Low,2.0,2.0,0.0,0.0,self,0.9833517074584961,1.0,7.0,720.0,Offenbach,20230314
520,1R,Med,9.0,9.0,0.0,0.0,self,1.5990209579467773,1.0,8.0,721.0,Offenbach,20230314
521,1R,Low,3.0,3.0,0.0,0.0,self,1.2156789302825928,1.0,0.0,725.0,Offenbach,20230314
522,1R,Low,2.0,2.0,0.0,0.0,self,0.9831149578094482,1.0,1.0,726.0,Offenbach,20230314
523,1R,Low,6.0,6.0,0.0,0.0,self,0.9995279312133789,1.0,2.0,727.0,Offenbach,20230314
524,1R,Low,1.0,1.0,0.0,0.0,self,1.049250841140747,1.0,4.0,729.0,Offenbach,20230314
525,1R,Low,2.0,2.0,0.0,0.0,self,0.9818079471588135,1.0,8.0,733.0,Offenbach,20230314
526,1R,Low,5.0,5.0,0.0,0.0,self,0.9829380512237549,1.0,9.0,734.0,Offenbach,20230314
527,1R,Low,2.0,2.0,0.0,0.0,self,1.051042079925537,1.0,0.0,737.0,Offenbach,20230314
528,1R,Low,8.0,8.0,0.0,0.0,self,1.083881139755249,1.0,1.0,738.0,Offenbach,20230314
529,1R,Low,6.0,6.0,0.0,0.0,self,0.999711275100708,1.0,2.0,739.0,Offenbach,20230314
530,1R,Low,1.0,1.0,0.0,0.0,self,0.982935905456543,1.0,3.0,740.0,Offenbach,20230314
531,1R,Low,4.0,4.0,0.0,0.0,self,0.9831089973449707,1.0,4.0,741.0,Offenbach,20230314
532,1R,Med,9.0,9.0,0.0,0.0,self,0.983241081237793,1.0,5.0,742.0,Offenbach,20230314
533,1R,Med,11.0,11.0,0.0,0.0,self,1.0166230201721191,1.0,11.0,748.0,Offenbach,20230314
534,1R,Med,11.0,11.0,0.0,0.0,self,1.100614070892334,1.0,12.0,749.0,Offenbach,20230314
535,1R,Low,6.0,6.0,0.0,0.0,self,1.1666719913482666,1.0,13.0,750.0,Offenbach,20230314
536,1R,Low,7.0,7.0,0.0,0.0,self,0.9834189414978027,1.0,14.0,751.0,Offenbach,20230314
537,1R,Low,4.0,4.0,0.0,0.0,self,1.032883882522583,1.0,16.0,753.0,Offenbach,20230314
538,1R,Low,2.0,2.0,0.0,0.0,self,0.9834952354431152,1.0,17.0,754.0,Offenbach,20230314
539,1R,Low,1.0,1.0,0.0,0.0,self,1.0329639911651611,1.0,18.0,755.0,Offenbach,20230314
540,1R,Med,9.0,9.0,0.0,0.0,self,1.0993568897247314,1.0,19.0,756.0,Offenbach,20230314
541,1R,Low,2.0,2.0,0.0,0.0,self,1.0828781127929688,1.0,20.0,757.0,Offenbach,20230314
542,1R,Low,8.0,8.0,0.0,1.0,self,1.0158650875091553,-1.0,21.0,758.0,Offenbach,20230314
543,1R,Low,6.0,6.0,0.0,0.0,self,0.9829697608947754,1.0,0.0,760.0,Offenbach,20230314
544,1R,Low,3.0,3.0,0.0,0.0,self,0.999107837677002,1.0,1.0,761.0,Offenbach,20230314
545,1R,Med,9.0,9.0,0.0,0.0,self,0.982673168182373,1.0,2.0,762.0,Offenbach,20230314
546,1R,Low,5.0,5.0,0.0,0.0,self,0.9829699993133545,1.0,3.0,763.0,Offenbach,20230314
547,1R,Low,6.0,6.0,0.0,0.0,self,0.9816749095916748,1.0,4.0,764.0,Offenbach,20230314
548,1R,High,13.0,13.0,0.0,0.0,self,0.9841022491455078,1.0,5.0,765.0,Offenbach,20230314
549,1R,Low,2.0,2.0,0.0,0.0,self,1.0664548873901367,1.0,6.0,766.0,Offenbach,20230314
550,1R,High,12.0,12.0,0.0,0.0,self,0.9998140335083008,1.0,7.0,767.0,Offenbach,20230314
551,1R,Low,6.0,6.0,0.0,0.0,self,1.0985877513885498,1.0,8.0,768.0,Offenbach,20230314
552,1R,Low,3.0,3.0,0.0,0.0,self,1.1001379489898682,1.0,9.0,769.0,Offenbach,20230314
553,1R,Low,5.0,5.0,0.0,0.0,self,1.0159430503845215,1.0,10.0,770.0,Offenbach,20230314
554,1R,Low,1.0,1.0,0.0,0.0,self,1.1994361877441406,1.0,14.0,774.0,Offenbach,20230314
555,1R,High,12.0,12.0,0.0,0.0,self,0.9834868907928467,1.0,15.0,775.0,Offenbach,20230314
