,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
603,1R,Low,8.0,8.0,0.0,1.0,Actor,1.1508827209472656,-1.0,12.0,939.0,Lalo,20230828
604,1R,Low,7.0,7.0,0.0,0.0,Actor,1.0162200927734375,1.0,0.0,943.0,Lalo,20230828
605,1R,Low,2.0,2.0,0.0,0.0,Actor,1.0164086818695068,1.0,1.0,944.0,Lalo,20230828
606,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9996318817138672,1.0,2.0,945.0,Lalo,20230828
607,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0324950218200684,1.0,3.0,946.0,Lalo,20230828
608,1R,Low,8.0,8.0,0.0,0.0,Observer,1.1494369506835938,1.0,4.0,947.0,Lalo,20230828
609,1R,Low,5.0,5.0,0.0,0.0,Actor,1.0162019729614258,1.0,5.0,948.0,Lalo,20230828
610,1R,Low,6.0,6.0,0.0,0.0,Actor,1.0334222316741943,1.0,6.0,949.0,Lalo,20230828
611,1R,Low,3.0,3.0,0.0,1.0,Observer,1.000680923461914,-1.0,7.0,950.0,Lalo,20230828
612,1R,Med,9.0,9.0,0.0,0.0,Observer,0.9999198913574219,1.0,0.0,954.0,Lalo,20230828
613,1R,Low,7.0,7.0,0.0,0.0,Observer,1.0987050533294678,1.0,1.0,955.0,Lalo,20230828
614,1R,Low,2.0,2.0,0.0,0.0,Observer,1.0161070823669434,1.0,2.0,956.0,Lalo,20230828
615,1R,Low,5.0,5.0,0.0,0.0,Observer,1.4837150573730469,1.0,3.0,957.0,Lalo,20230828
616,1R,Low,1.0,1.0,1.0,0.0,Observer,2.8833789825439453,-1.0,4.0,958.0,Lalo,20230828
617,1R,Low,7.0,7.0,1.0,0.0,Observer-incongruent,1.4330062866210938,-1.0,5.0,959.0,Lalo,20230828
618,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0333900451660156,1.0,0.0,964.0,Lalo,20230828
619,1R,Low,2.0,2.0,0.0,0.0,Observer,1.2832298278808594,1.0,1.0,965.0,Lalo,20230828
620,1R,Low,6.0,6.0,0.0,0.0,Observer,2.1001148223876953,1.0,2.0,966.0,Lalo,20230828
621,1R,High,12.0,12.0,1.0,0.0,Observer,1.4999470710754395,-1.0,4.0,968.0,Lalo,20230828
622,1R,Low,4.0,4.0,0.0,0.0,Observer-incongruent,1.5335972309112549,1.0,5.0,969.0,Lalo,20230828
623,1R,Low,5.0,5.0,0.0,0.0,Observer,1.3001151084899902,1.0,6.0,970.0,Lalo,20230828
624,1R,Low,3.0,3.0,0.0,1.0,Observer,1.3169920444488525,-1.0,8.0,972.0,Lalo,20230828
625,1R,Low,3.0,3.0,0.0,0.0,Observer,1.1162729263305664,1.0,0.0,975.0,Lalo,20230828
626,1R,Low,6.0,6.0,0.0,0.0,Actor,1.0328178405761719,1.0,1.0,976.0,Lalo,20230828
627,1R,Low,1.0,1.0,0.0,0.0,Observer,1.1989519596099854,1.0,4.0,979.0,Lalo,20230828
628,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9829938411712646,1.0,5.0,980.0,Lalo,20230828
